# E (eV)   ldos(E)   pdos(E)   
 -26.040 -0.481E-02 -0.481E-02
 -26.030 -0.452E-02 -0.452E-02
 -26.020 -0.423E-02 -0.423E-02
 -26.010 -0.394E-02 -0.394E-02
 -26.000 -0.366E-02 -0.366E-02
 -25.990 -0.339E-02 -0.339E-02
 -25.980 -0.313E-02 -0.313E-02
 -25.970 -0.289E-02 -0.289E-02
 -25.960 -0.265E-02 -0.265E-02
 -25.950 -0.242E-02 -0.242E-02
 -25.940 -0.221E-02 -0.221E-02
 -25.930 -0.201E-02 -0.201E-02
 -25.920 -0.182E-02 -0.182E-02
 -25.910 -0.165E-02 -0.165E-02
 -25.900 -0.148E-02 -0.148E-02
 -25.890 -0.133E-02 -0.133E-02
 -25.880 -0.119E-02 -0.119E-02
 -25.870 -0.107E-02 -0.107E-02
 -25.860 -0.949E-03 -0.949E-03
 -25.850 -0.842E-03 -0.842E-03
 -25.840 -0.745E-03 -0.745E-03
 -25.830 -0.658E-03 -0.658E-03
 -25.820 -0.579E-03 -0.579E-03
 -25.810 -0.508E-03 -0.508E-03
 -25.800 -0.445E-03 -0.445E-03
 -25.790 -0.388E-03 -0.388E-03
 -25.780 -0.338E-03 -0.338E-03
 -25.770 -0.293E-03 -0.293E-03
 -25.760 -0.253E-03 -0.253E-03
 -25.750 -0.219E-03 -0.219E-03
 -25.740 -0.188E-03 -0.188E-03
 -25.730 -0.161E-03 -0.161E-03
 -25.720 -0.138E-03 -0.138E-03
 -25.710 -0.118E-03 -0.118E-03
 -25.700 -0.100E-03 -0.100E-03
 -25.690 -0.849E-04 -0.849E-04
 -25.680 -0.718E-04 -0.718E-04
 -25.670 -0.605E-04 -0.605E-04
 -25.660 -0.509E-04 -0.509E-04
 -25.650 -0.427E-04 -0.427E-04
 -25.640 -0.357E-04 -0.357E-04
 -25.630 -0.298E-04 -0.298E-04
 -25.620 -0.248E-04 -0.248E-04
 -25.610 -0.205E-04 -0.205E-04
 -25.600 -0.170E-04 -0.170E-04
 -25.590 -0.140E-04 -0.140E-04
 -25.580 -0.115E-04 -0.115E-04
 -25.570 -0.946E-05 -0.946E-05
 -25.560 -0.773E-05 -0.773E-05
 -25.550 -0.631E-05 -0.631E-05
 -25.540 -0.513E-05 -0.513E-05
 -25.530 -0.416E-05 -0.416E-05
 -25.520 -0.337E-05 -0.337E-05
 -25.510 -0.272E-05 -0.272E-05
 -25.500 -0.218E-05 -0.218E-05
 -25.490 -0.175E-05 -0.175E-05
 -25.480 -0.140E-05 -0.140E-05
 -25.470 -0.112E-05 -0.112E-05
 -25.460 -0.890E-06 -0.890E-06
 -25.450 -0.706E-06 -0.706E-06
 -25.440 -0.559E-06 -0.559E-06
 -25.430 -0.441E-06 -0.441E-06
 -25.420 -0.347E-06 -0.347E-06
 -25.410 -0.272E-06 -0.272E-06
 -25.400 -0.213E-06 -0.213E-06
 -25.390 -0.166E-06 -0.166E-06
 -25.380 -0.129E-06 -0.129E-06
 -25.370 -0.100E-06 -0.100E-06
 -25.360 -0.777E-07 -0.777E-07
 -25.350 -0.600E-07 -0.600E-07
 -25.340 -0.461E-07 -0.461E-07
 -25.330 -0.354E-07 -0.354E-07
 -25.320 -0.271E-07 -0.271E-07
 -25.310 -0.206E-07 -0.206E-07
 -25.300 -0.157E-07 -0.157E-07
 -25.290 -0.118E-07 -0.118E-07
 -25.280 -0.891E-08 -0.891E-08
 -25.270 -0.646E-08 -0.646E-08
 -25.260 -0.487E-08 -0.487E-08
 -25.250 -0.366E-08 -0.366E-08
 -25.240 -0.273E-08 -0.273E-08
 -25.230 -0.203E-08 -0.203E-08
 -25.220 -0.150E-08 -0.150E-08
 -25.210 -0.110E-08 -0.110E-08
 -25.200 -0.804E-09 -0.804E-09
 -25.190 -0.575E-09 -0.575E-09
 -25.180 -0.404E-09 -0.404E-09
 -25.170 -0.271E-09 -0.271E-09
 -25.160 -0.138E-09 -0.138E-09
 -25.150  0.000E+00  0.000E+00
 -25.140  0.000E+00  0.000E+00
 -25.130  0.000E+00  0.000E+00
 -25.120  0.000E+00  0.000E+00
 -25.110  0.000E+00  0.000E+00
 -25.100  0.000E+00  0.000E+00
 -25.090  0.000E+00  0.000E+00
 -25.080  0.000E+00  0.000E+00
 -25.070  0.000E+00  0.000E+00
 -25.060  0.000E+00  0.000E+00
 -25.050  0.000E+00  0.000E+00
 -25.040  0.000E+00  0.000E+00
 -25.030  0.000E+00  0.000E+00
 -25.020  0.000E+00  0.000E+00
 -25.010  0.000E+00  0.000E+00
 -25.000  0.000E+00  0.000E+00
 -24.990  0.000E+00  0.000E+00
 -24.980  0.000E+00  0.000E+00
 -24.970  0.000E+00  0.000E+00
 -24.960  0.000E+00  0.000E+00
 -24.950  0.000E+00  0.000E+00
 -24.940  0.000E+00  0.000E+00
 -24.930  0.000E+00  0.000E+00
 -24.920  0.000E+00  0.000E+00
 -24.910  0.000E+00  0.000E+00
 -24.900  0.000E+00  0.000E+00
 -24.890  0.000E+00  0.000E+00
 -24.880  0.000E+00  0.000E+00
 -24.870  0.000E+00  0.000E+00
 -24.860  0.000E+00  0.000E+00
 -24.850  0.000E+00  0.000E+00
 -24.840  0.000E+00  0.000E+00
 -24.830  0.000E+00  0.000E+00
 -24.820  0.000E+00  0.000E+00
 -24.810  0.000E+00  0.000E+00
 -24.800  0.000E+00  0.000E+00
 -24.790  0.000E+00  0.000E+00
 -24.780  0.000E+00  0.000E+00
 -24.770  0.000E+00  0.000E+00
 -24.760  0.000E+00  0.000E+00
 -24.750  0.000E+00  0.000E+00
 -24.740  0.000E+00  0.000E+00
 -24.730  0.000E+00  0.000E+00
 -24.720  0.000E+00  0.000E+00
 -24.710  0.000E+00  0.000E+00
 -24.700  0.000E+00  0.000E+00
 -24.690  0.000E+00  0.000E+00
 -24.680  0.000E+00  0.000E+00
 -24.670  0.000E+00  0.000E+00
 -24.660  0.000E+00  0.000E+00
 -24.650  0.000E+00  0.000E+00
 -24.640  0.000E+00  0.000E+00
 -24.630  0.000E+00  0.000E+00
 -24.620  0.000E+00  0.000E+00
 -24.610  0.000E+00  0.000E+00
 -24.600  0.000E+00  0.000E+00
 -24.590  0.000E+00  0.000E+00
 -24.580  0.000E+00  0.000E+00
 -24.570  0.000E+00  0.000E+00
 -24.560  0.000E+00  0.000E+00
 -24.550  0.000E+00  0.000E+00
 -24.540  0.000E+00  0.000E+00
 -24.530  0.000E+00  0.000E+00
 -24.520  0.000E+00  0.000E+00
 -24.510  0.000E+00  0.000E+00
 -24.500  0.000E+00  0.000E+00
 -24.490  0.000E+00  0.000E+00
 -24.480  0.000E+00  0.000E+00
 -24.470  0.000E+00  0.000E+00
 -24.460  0.000E+00  0.000E+00
 -24.450  0.000E+00  0.000E+00
 -24.440  0.000E+00  0.000E+00
 -24.430  0.000E+00  0.000E+00
 -24.420  0.000E+00  0.000E+00
 -24.410  0.000E+00  0.000E+00
 -24.400  0.000E+00  0.000E+00
 -24.390  0.000E+00  0.000E+00
 -24.380  0.000E+00  0.000E+00
 -24.370  0.000E+00  0.000E+00
 -24.360  0.000E+00  0.000E+00
 -24.350  0.000E+00  0.000E+00
 -24.340  0.000E+00  0.000E+00
 -24.330  0.000E+00  0.000E+00
 -24.320  0.000E+00  0.000E+00
 -24.310  0.000E+00  0.000E+00
 -24.300  0.000E+00  0.000E+00
 -24.290  0.000E+00  0.000E+00
 -24.280  0.000E+00  0.000E+00
 -24.270  0.000E+00  0.000E+00
 -24.260  0.000E+00  0.000E+00
 -24.250  0.000E+00  0.000E+00
 -24.240  0.000E+00  0.000E+00
 -24.230  0.000E+00  0.000E+00
 -24.220  0.000E+00  0.000E+00
 -24.210  0.000E+00  0.000E+00
 -24.200  0.000E+00  0.000E+00
 -24.190  0.000E+00  0.000E+00
 -24.180  0.000E+00  0.000E+00
 -24.170  0.000E+00  0.000E+00
 -24.160  0.000E+00  0.000E+00
 -24.150  0.000E+00  0.000E+00
 -24.140  0.000E+00  0.000E+00
 -24.130  0.000E+00  0.000E+00
 -24.120  0.000E+00  0.000E+00
 -24.110  0.000E+00  0.000E+00
 -24.100  0.000E+00  0.000E+00
 -24.090  0.000E+00  0.000E+00
 -24.080  0.000E+00  0.000E+00
 -24.070  0.000E+00  0.000E+00
 -24.060  0.000E+00  0.000E+00
 -24.050  0.000E+00  0.000E+00
 -24.040  0.000E+00  0.000E+00
 -24.030  0.000E+00  0.000E+00
 -24.020  0.000E+00  0.000E+00
 -24.010  0.000E+00  0.000E+00
 -24.000  0.000E+00  0.000E+00
 -23.990  0.000E+00  0.000E+00
 -23.980  0.000E+00  0.000E+00
 -23.970  0.000E+00  0.000E+00
 -23.960  0.000E+00  0.000E+00
 -23.950  0.000E+00  0.000E+00
 -23.940  0.000E+00  0.000E+00
 -23.930  0.000E+00  0.000E+00
 -23.920  0.000E+00  0.000E+00
 -23.910  0.000E+00  0.000E+00
 -23.900  0.000E+00  0.000E+00
 -23.890  0.000E+00  0.000E+00
 -23.880  0.000E+00  0.000E+00
 -23.870  0.000E+00  0.000E+00
 -23.860  0.000E+00  0.000E+00
 -23.850  0.000E+00  0.000E+00
 -23.840  0.000E+00  0.000E+00
 -23.830  0.000E+00  0.000E+00
 -23.820  0.000E+00  0.000E+00
 -23.810  0.000E+00  0.000E+00
 -23.800  0.000E+00  0.000E+00
 -23.790  0.000E+00  0.000E+00
 -23.780  0.000E+00  0.000E+00
 -23.770  0.000E+00  0.000E+00
 -23.760  0.000E+00  0.000E+00
 -23.750  0.000E+00  0.000E+00
 -23.740  0.000E+00  0.000E+00
